Problem,Status,User time,Failure,Version,Preprocessing time,...number of literals in the above,...of the previous two non-trivial,...of these trivial,...remaining for further processing,...subsumed,BW rewrite match attempts,BW rewrite match successes,Backward-rewritten,Backward-subsumed,Clause-clause subsumption calls (NU),Clauses deleted for lack of memory,Condensation attempts,Condensation successes,Contextual simplify-reflections,Current number of archived clauses,Current number of archived formulas,Current number of processed clauses,Current number of unprocessed clauses,Equation resolutions,Factorizations,Generated clauses,Initial clauses,Initial clauses in saturation,Maximum resident set size,Negative unit clauses,Non-unit clause-clause subsumptions,Non-unit-clauses,Other redundant clauses eliminated,Paramodulations,Parsed axioms,Positive orientable unit clauses,Positive unorientable unit clauses,Processed clauses,Proof object clause conjectures,Proof object clause steps,Proof object conjectures,Proof object formula conjectures,Proof object formula steps,Proof object generating inferences,Proof object given clauses,Proof object initial clauses used,Proof object initial formulas used,Proof object simplifying inferences,Proof object total steps,Proof search given clauses,Rec. Clause-clause subsumption calls,Removed by relevancy pruning/SinE,Removed in clause preprocessing,Rewrite failures with RHS unbound,System time,Total time,Unit Clause-clause subsumption calls,Filename,Heuristic,Type,Equational
LCL768-1.p,F,-,maxtime,1.9.1pre005,0.019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336035.txt,0001_FIFO,general,equational
LCL769-1.p,F,-,maxtime,1.9.1pre005,0.017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336039.txt,0001_FIFO,general,equational
LCL770-1.p,T,0.021,success,1.9.1pre005,0.022,1127,1,1,44,6,0,0,0,0,53,0,0,0,0,46,0,44,505,3,0,4,557,556,4148,3,1,9,0,1,557,32,0,52,3,5,3,0,0,0,2,2,0,2,5,45,31,0,1,0,0.002,0.023,3,172336043.txt,0001_FIFO,general,equational
LCL771-1.p,T,0.015,success,1.9.1pre005,0.018,681,7,13,60,11,1,0,0,0,119,0,0,0,0,63,0,60,347,7,0,21,428,425,3964,6,3,18,3,14,428,36,0,85,3,5,3,0,0,0,2,2,0,2,5,61,110,0,3,0,0.004,0.019,49,172336047.txt,0001_FIFO,general,equational
LCL772-1.p,F,-,maxtime,1.9.1pre005,0.017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336051.txt,0001_FIFO,general,equational
LCL773-1.p,T,0.050,success,1.9.1pre005,0.037,4001,792,20,338,76,50,22,2,0,9151,0,0,0,12,342,0,336,1454,43,4,1039,1103,1101,6048,10,78,240,31,992,1103,83,3,434,5,7,5,0,0,1,3,3,0,2,7,338,7162,0,2,0,0.004,0.054,85,172336055.txt,0001_FIFO,general,equational
LCL774-1.p,T,0.015,success,1.9.1pre005,0.017,816,0,0,26,4,0,0,0,0,0,0,0,0,0,28,0,26,350,0,0,0,382,381,3592,2,0,0,0,0,382,24,0,31,3,5,3,0,0,0,2,2,0,2,5,27,0,0,1,0,0.002,0.017,0,172336059.txt,0001_FIFO,general,equational
LCL775-1.p,F,-,maxtime,1.9.1pre005,0.024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336063.txt,0001_FIFO,general,equational
LCL776-1.p,T,9.890,success,1.9.1pre005,0.031,2195807,525930,199,4709,1386,2159,124,43,127,2457991,0,0,0,554,4880,0,4539,508834,9101,12,558029,871,870,478020,55,1768,4033,9011,548916,871,407,44,6294,8,13,8,0,0,2,6,5,0,5,13,4709,818060,0,1,70,0.314,10.204,28176,172336067.txt,0001_FIFO,general,equational
LCL777-1.p,T,0.046,success,1.9.1pre005,0.017,5014,1967,46,297,43,36,8,5,0,5154,0,0,0,2,304,0,292,1906,135,2,2317,388,387,6536,15,30,178,116,2180,388,94,5,387,6,8,6,0,0,0,3,3,0,2,8,298,4713,0,1,2,0.002,0.048,386,172336071.txt,0001_FIFO,general,equational
