Problem,Status,User time,Failure,Version,Preprocessing time,...number of literals in the above,...of the previous two non-trivial,...of these trivial,...remaining for further processing,...subsumed,BW rewrite match attempts,BW rewrite match successes,Backward-rewritten,Backward-subsumed,Clause-clause subsumption calls (NU),Clauses deleted for lack of memory,Condensation attempts,Condensation successes,Contextual simplify-reflections,Current number of archived clauses,Current number of archived formulas,Current number of processed clauses,Current number of unprocessed clauses,Equation resolutions,Factorizations,Generated clauses,Initial clauses,Initial clauses in saturation,Maximum resident set size,Negative unit clauses,Non-unit clause-clause subsumptions,Non-unit-clauses,Other redundant clauses eliminated,Paramodulations,Parsed axioms,Positive orientable unit clauses,Positive unorientable unit clauses,Processed clauses,Proof object clause conjectures,Proof object clause steps,Proof object conjectures,Proof object formula conjectures,Proof object formula steps,Proof object generating inferences,Proof object given clauses,Proof object initial clauses used,Proof object initial formulas used,Proof object simplifying inferences,Proof object total steps,Proof search given clauses,Rec. Clause-clause subsumption calls,Removed by relevancy pruning/SinE,Removed in clause preprocessing,Rewrite failures with RHS unbound,System time,Total time,Unit Clause-clause subsumption calls,Filename,Heuristic,Type,Equational
LCL809-1.p,T,0.043,success,1.9.1pre005,0.044,3457,0,0,27,2,0,0,0,0,1,0,0,0,0,30,0,27,1207,0,0,1,1239,1236,5408,5,1,2,0,1,1239,20,0,29,3,7,3,0,0,1,3,3,0,2,7,27,1,0,3,0,0.002,0.045,5,172377722.txt,0010_evo,general,equational
LCL810-1.p,F,-,maxtime,1.9.1pre005,0.019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377726.txt,0010_evo,general,equational
LCL811-1.p,F,-,maxtime,1.9.1pre005,0.019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377730.txt,0010_evo,general,equational
LCL812-1.p,T,0.906,success,1.9.1pre005,0.026,149413,52884,173,1348,4615,763,73,36,59,332074,0,0,0,487,1447,0,1253,43526,3404,49,61796,653,650,44640,109,3786,851,3376,58343,653,279,14,6137,3,8,3,0,0,1,4,3,0,1,8,1349,284368,0,3,0,0.031,0.937,7195,172377734.txt,0010_evo,general,equational
LCL813-1.p,T,0.034,success,1.9.1pre005,0.033,2041,34,20,136,23,16,9,1,0,181,0,0,0,0,138,0,135,790,4,2,78,936,935,5344,17,4,29,0,72,936,88,1,179,3,8,3,0,0,1,4,3,0,2,8,136,175,0,1,0,0.003,0.037,73,172377738.txt,0010_evo,general,equational
LCL814-1.p,F,-,maxtime,1.9.1pre005,0.026,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377742.txt,0010_evo,general,equational
LCL815-1.p,T,0.763,success,1.9.1pre005,0.031,104581,48142,551,1375,5831,548,140,62,39,502291,0,0,0,490,1480,0,1274,37969,2737,28,63549,817,813,38196,50,4813,877,2712,60784,817,332,15,7757,4,9,4,0,0,1,3,4,0,3,9,1375,446927,0,4,0,0.014,0.777,6516,172377746.txt,0010_evo,general,equational
LCL816-1.p,F,-,maxtime,1.9.1pre005,0.022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377750.txt,0010_evo,general,equational
LCL817-1.p,T,0.199,success,1.9.1pre005,0.016,35398,12158,26,478,909,138,9,2,1,47843,0,0,0,29,481,0,475,10992,1956,20,14449,294,294,14384,104,585,275,1941,12473,294,90,6,1413,3,10,3,0,0,2,5,4,0,2,10,478,42917,0,0,4,0.009,0.208,3679,172377754.txt,0010_evo,general,equational
LCL818-1.p,T,0.214,success,1.9.1pre005,0.019,40860,14665,64,451,910,254,17,6,0,22414,0,0,0,31,458,0,445,13455,1814,18,17214,398,397,16364,75,589,233,1795,15382,398,128,9,1425,3,12,3,0,0,2,6,5,0,3,12,451,21059,0,1,17,0.011,0.225,1113,172377758.txt,0010_evo,general,equational
LCL819-1.p,F,-,maxtime,1.9.1pre005,0.017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377762.txt,0010_evo,general,equational
LCL820-1.p,F,-,maxtime,1.9.1pre005,0.040,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377766.txt,0010_evo,general,equational
LCL821-1.p,T,0.068,success,1.9.1pre005,0.019,9670,3565,25,278,550,37,11,0,4,11353,0,0,0,24,285,0,273,3050,340,14,4340,367,365,6796,22,389,182,331,3985,367,67,2,853,2,11,2,0,0,1,5,4,0,2,11,278,10491,0,2,0,0.007,0.075,86,172377770.txt,0010_evo,general,equational
LCL822-1.p,T,0.017,success,1.9.1pre005,0.014,285,62,16,117,33,95,6,0,0,523,0,0,0,0,118,0,117,126,7,2,134,231,230,4024,15,18,53,0,125,231,46,3,166,2,7,2,0,0,1,3,3,0,1,7,117,477,0,1,0,0.002,0.019,43,172377774.txt,0010_evo,general,equational
LCL823-1.p,T,7.410,success,1.9.1pre005,0.042,769931,555314,1125,3464,4292,281965,874,326,105,502991,0,0,0,298,3896,0,3031,346403,424,42,585947,798,798,328644,132,3259,1522,401,585481,798,1328,49,8882,4,18,4,0,0,1,9,7,0,8,18,3465,329341,0,0,596,0.245,7.655,23903,172377778.txt,0010_evo,general,equational
LCL824-1.p,F,-,maxtime,1.9.1pre005,0.022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377782.txt,0010_evo,general,equational
LCL825-1.p,T,0.019,success,1.9.1pre005,0.020,890,0,0,14,1,1,1,1,0,0,0,0,0,0,17,0,13,466,0,0,0,484,481,4040,3,0,0,0,0,484,10,0,15,3,7,3,0,0,0,3,3,0,3,7,14,0,0,3,0,0.002,0.021,3,172377786.txt,0010_evo,general,equational
LCL826-1.p,T,0.028,success,1.9.1pre005,0.022,724,211,18,171,96,138,9,1,1,1500,0,0,0,1,175,0,169,337,16,2,367,413,411,4568,19,39,78,14,349,413,71,1,285,10,12,10,0,0,2,6,5,0,3,12,171,1123,0,2,0,0.002,0.030,31,172377790.txt,0010_evo,general,equational
